HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6201.40.45.00","7","Water resistant (634)","[""doz."",""kg""]","7.1%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","65%","",""
"6201.40.50","7","Other","","27.7%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6201.40.50.11","8","Men's (634)","[""doz."",""kg""]","","","","",""
"6201.40.50.21","8","Boys' (634)","[""doz."",""kg""]","","","","",""
"","3","Other:","","","","","",""
"6201.40.55.00","4","Containing 15 percent or more by weight of down and waterfowl plumage and of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down (653)","[""doz."",""kg""]","4.4%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","60%","",""
"","4","Other:","","","","","",""
"6201.40.60","5","Padded, sleeveless jackets","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","76%","",""
"6201.40.60.10","6","With attachments for sleeves (634)","[""doz."",""kg""]","","","","",""
"6201.40.60.20","6","Other (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","5","Other:","","","","","",""
"6201.40.65","6","Containing 36 percent or more by weight of wool or fine animal hair","","49.5¢/kg + 19.6%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","52.9¢/kg + 58.5%","",""
"6201.40.65.11","7","Men's (434)","[""doz."",""kg""]","","","","",""
"6201.40.65.21","7","Boys' (434)","[""doz."",""kg""]","","","","",""
"","6","Other:","","","","","",""
"6201.40.70.00","7","Water resistant (634)","[""doz."",""kg""]","7.1%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","65%","",""
"6201.40.75","7","Other","","27.7%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6201.40.75.11","8","Men's (634)","[""doz."",""kg""]","","","","",""
"6201.40.75.21","8","Boys' (634)","[""doz."",""kg""]","","","","",""
"6201.90","1","Of other textile materials:","","","","","",""
"","2","Overcoats, carcoats, capes, cloaks and similar coats:","","","","","",""
"6201.90.19.00","3","Containing 70 percent or more by weight of silk or silk waste (734)","[""doz."",""kg""]","Free","","35%","",""
"6201.90.29","3","Other","","2.8%","Free (AU,BH,CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"6201.90.29.10","4","Subject to cotton restraints (334)","[""doz."",""kg""]","","","","",""
"6201.90.29.20","4","Subject to wool restraints (434)","[""doz."",""kg""]","","","","",""
"6201.90.29.30","4","Subject to man-made fiber restraints (634)","[""doz."",""kg""]","","","","",""
"6201.90.29.60","4","Other (834)","[""doz."",""kg""]","","","","",""
"","2","Anoraks (including ski-jackets), windbreakers and similar articles (including padded, sleeveless jackets):","","","","","",""
"","3","Recreational performance outerwear:","","","","","",""
"6201.90.39.00","4","Containing 70 percent or more by weight of silk or silk waste (735)","[""doz."",""kg""]","Free","","35%","",""
"6201.90.49","4","Other","","4.2%","Free (AU,BH,CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"6201.90.49.10","5","Subject to cotton restraints (334)","[""doz."",""kg""]","","","","",""
"6201.90.49.20","5","Subject to wool restraints (434)","[""doz."",""kg""]","","","","",""
"6201.90.49.30","5","Subject to man-made fiber restraints (634)","[""doz."",""kg""]","","","","",""
"6201.90.49.60","5","Other (834)","[""doz."",""kg""]","","","","",""
"","3","Other:","","","","","",""
"6201.90.59.00","4","Containing 70 percent or more by weight of silk or silk waste (735)","[""doz."",""kg""]","Free","","35%","",""
"6201.90.69","4","Other","","4.2%","Free (AU,BH,CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"6201.90.69.10","5","Subject to cotton restraints (334)","[""doz."",""kg""]","","","","",""
"6201.90.69.20","5","Subject to wool restraints (434)","[""doz."",""kg""]","","","","",""
"6201.90.69.30","5","Subject to man-made fiber restraints (634)","[""doz."",""kg""]","","","","",""
"6201.90.69.60","5","Other (834)","[""doz."",""kg""]","","","","",""
"6202","0","Women's or girls' overcoats, carcoats, capes, cloaks, anoraks (including ski jackets), windbreakers   and similar articles (including padded, sleeveless jackets), other than those of heading 6204:","","","","","",""
"6202.20","1","Of wool or fine animal hair:","","","","","",""
"6202.20.11","2","Overcoats, carcoats, capes, cloaks and similar coats:","","41¢/kg + 16.3%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","46.3¢/kg + 58.5%","",""
"6202.20.11.10","3","Women's (435)","[""doz."",""kg""]","","","","",""
"6202.20.11.20","3","Girls' (435)","[""doz."",""kg""]","","","","",""
"","2","Anoraks (including ski-jackets), windbreakers and similar articles (including padded, sleeveless jackets):","","","","","",""
"","3","Recreational performance outerwear:","","","","","",""
"6202.20.19.00","4","Padded, sleeveless jackets (459)","[""doz."",""<u>kg<\/u>""]","14%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","58.5%","",""
"6202.20.29","4","Other","","36¢/kg + 16.3%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","46.3¢/kg + 58.5%","",""
"6202.20.29.11","5","Women's (435)","[""doz."",""kg""]","","","","",""
"6202.20.29.21","5","Girls' (435)","[""doz."",""kg""]","","","","",""
"","3","Other:","","","","","",""
"6202.20.35.00","4","Padded, sleeveless jackets (459)","[""doz."",""<u>kg<\/u>""]","14%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","58.5%","",""
"6202.20.40","4","Other","","36¢/kg + 16.3%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","46.3¢/kg + 58.5%","",""
"6202.20.40.11","5","Women's (438)","[""doz."",""kg""]","","","","",""
"6202.20.40.21","5","Girls' (435)","[""doz."",""kg""]","","","","",""
"6202.30","1","Of cotton:","","","","","",""
"","2","Overcoats, carcoats, capes, cloaks and similar coats:","","","","","",""
"6202.30.12.00","3","Containing 15 percent or more by weight of down and waterfowl plumage and of which down comprises 35   percent or more by weight; containing 10 percent or more by weight of down (354)","[""doz."",""kg""]","4.4%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","60%","",""
"6202.30.20","3","Other","","8.9%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"","4","Raincoats:","","","","","",""
"6202.30.20.10","5","Women's (335)","[""doz."",""kg""]","","","","",""
"6202.30.20.20","5","Girls' (335)","[""doz."",""kg""]","","","","",""
"","4","Other:","","","","","",""
"","5","Corduroy:","","","","","",""
"6202.30.20.25","6","Women's (335)","[""doz."",""kg""]","","","","",""
"6202.30.20.35","6","Girls' (335)","[""doz."",""kg""]","","","","",""
"","5","Other:","","","","","",""
"6202.30.20.50","6","Women's (335)","[""doz."",""kg""]","","","","",""
"6202.30.20.60","6","Girls' (335)","[""doz."",""kg""]","","","","",""
"","2","Anoraks (including ski-jackets), windbreakers and similar articles (including padded, sleeveless jackets):","","","","","",""
"","3","Recreational performance outerwear:","","","","","",""
"6202.30.30.00","4","Containing 15 percent or more by weight of down and waterfowl plumage and of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down (354)","[""doz."",""kg""]","4.4%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","60%","",""
"","4","Other:","","","","","",""
"6202.30.40.00","5","Water resistant (335)","[""doz."",""kg""]","6.2%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","37.5%","",""
"6202.30.50","5","Other","","8.9%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"","6","Padded, sleeveless jackets:","","","","","",""
"6202.30.50.10","7","With attachments for sleeves (335)","[""doz."",""kg""]","","","","",""
"6202.30.50.20","7","Other (359)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","6","Other:","","","","","",""
"","7","Corduroy:","","","","","",""
"6202.30.50.26","8","Women's (335)","[""doz."",""kg""]","","","","",""
"6202.30.50.31","8","Girls' (335)","[""doz."",""kg""]","","","","",""
"","7","Other:","","","","","",""
"6202.30.50.61","8","Women's (335)","[""doz."",""kg""]","","","","",""
"6202.30.50.71","8","Girls' (335)","[""doz."",""kg""]","","","","",""
"","3","Other:","","","","","",""
"6202.30.60.00","4","Containing 15 percent or more by weight of down and waterfowl plumage and of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down (354)","[""doz."",""kg""]","4.4%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"","4","Other:","","","","","",""
"6202.30.70.00","5","Water resistant (335)","[""doz."",""kg""]","6.2%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","37.5%","",""
"6202.30.80","5","Other","","8.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"","6","Padded, sleeveless jackets:","","","","","",""
"6202.30.80.10","7","With attachments for sleeves (335)","[""doz."",""kg""]","","","","",""
"6202.30.80.20","7","Other (359)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","6","Other:","","","","","",""
"","7","Corduroy:","","","","","",""
"6202.30.80.26","8","Women's (335)","[""doz."",""kg""]","","","","",""
"6202.30.80.31","8","Girls' (335)","[""doz."",""kg""]","","","","",""
"","7","Other:","","","","","",""
"6202.30.80.61","8","Women's (335)","[""doz."",""kg""]","","","","",""
"6202.30.80.71","8","Girls' (335)","[""doz."",""kg""]","","","","",""
"6202.40","1","Of man-made fibers:","","","","","",""
"","2","Overcoats, carcoats, capes, cloaks and similar coats:","","","","","",""
"6202.40.10.00","3","Containing 15 percent or more by weight of down and waterfowl plumage and of which down comprises 35   percent or more by weight; containing 10 percent or more by weight of down (654)","[""doz."",""kg""]","4.4%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","60%","",""
"","3","Other:","","","","","",""
"6202.40.15","4","Containing 36 percent or more by weight of wool or fine animal hair","","43.5¢/kg + 19.7%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","46.3¢/kg + 58.5%","",""
"6202.40.15.10","5","Women's (435)","[""doz."",""kg""]","","","","",""
"6202.40.15.20","5","Girls' (435)","[""doz."",""kg""]","","","","",""
"6202.40.20","4","Other","","27.7%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"","5","Raincoats:","","","","","",""
"6202.40.20.05","6","Women's (635)","[""doz."",""kg""]","","","","",""
"6202.40.20.10","6","Girls' (635)","[""doz."",""kg""]","","","","",""
"","5","Other:","","","","","",""
"6202.40.20.20","6","Women's (635)","[""doz."",""kg""]","","","","",""
"6202.40.20.30","6","Girls' (635)","[""doz."",""kg""]","","","","",""
"","2","Anoraks (including ski-jackets), windbreakers and similar articles (including padded, sleeveless jackets):","","","","","",""
"","3","Recreational performance outerwear:","","","","","",""
"6202.40.25.00","4","Containing 15 percent or more by weight of down and waterfowl plumage and of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down (654)","[""doz."",""kg""]","4.4%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","60%","",""
"","4","Other:","","","","","",""
"6202.40.35","5","Padded, sleeveless jackets","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","76%","",""
"6202.40.35.10","6","With attachments for sleeves (635)","[""doz."",""kg""]","","","","",""
"6202.40.35.20","6","Other (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","5","Other:","","","","","",""
"6202.40.40","6","Containing 36 percent or more by weight of wool or fine animal hair","","43.4¢/kg + 19.7%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","46.3¢/kg + 58.5%","",""
"6202.40.40.11","7","Women's (435)","[""doz."",""kg""]","","","","",""
"6202.40.40.21","7","Girls' (435)","[""doz."",""kg""]","","","","",""
"","6","Other:","","","","","",""
"6202.40.45.00","7","Water resistant (635)","[""doz."",""kg""]","7.1%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","65%","",""
