HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7205.21.00.00","2","Of alloy steel","[""kg""]","Free","","45%","",""
"7205.29.00.00","2","Other","[""t""]","Free","","$2.21/t","",""
"","1","II. IRON AND NONALLOY STEEL","","","","","",""
"7206","0","Iron and nonalloy steel in ingots or other primary forms (excluding iron of heading 7203):","","","","","",""
"7206.10.00.00","1","Ingots","[""kg""]","Free","","20%","",""
"7206.90.00.00","1","Other","[""kg""]","Free","","20%","",""
"7207","0","Semifinished products of iron or nonalloy steel:","","","","","",""
"","1","Containing by weight less than 0.25 percent of carbon:","","","","","",""
"7207.11.00.00","2","Of rectangular (including square) cross section, the width measuring less than twice the thickness","[""kg""]","Free","","20%","",""
"7207.12.00","2","Other, of rectangular (other than square) cross section","","Free","","20%","",""
"7207.12.00.10","3","Having a width measuring less than four times the thickness","[""kg""]","","","","",""
"7207.12.00.50","3","Having a width measuring at least four times the thickness","[""kg""]","","","","",""
"7207.19.00","2","Other","","Free","","20%","",""
"7207.19.00.30","3","Of circular cross section","[""kg""]","","","","",""
"7207.19.00.90","3","Other","[""kg""]","","","","",""
"7207.20.00","1","Containing by weight 0.25 percent or more of carbon","","Free","","20%","",""
"","2","Of rectangular (including square) cross section:","","","","","",""
"7207.20.00.25","3","Having a width measuring less than four times the thickness","[""kg""]","","","","",""
"7207.20.00.45","3","Having a width measuring at least four times the thickness","[""kg""]","","","","",""
"7207.20.00.75","2","Of circular cross section","[""kg""]","","","","",""
"7207.20.00.90","2","Other","[""kg""]","","","","",""
"7208","0","Flat-rolled products of iron or nonalloy steel, of a width of <il>600 mm</il> or more, hot-rolled, not clad, plated or coated:","","","","","",""
"7208.10","1","In coils, not further worked than hot-rolled, with patterns in relief:","","","","","",""
"7208.10.15.00","2","Pickled","[""kg""]","Free","","0.4¢/kg + 20%","",""
"","2","Other:","","","","","",""
"7208.10.30.00","3","Of a thickness of <il>4.75 mm</il> or more","[""kg""]","Free","","20%","",""
"7208.10.60.00","3","Of a thickness of less than <il>4.75 mm</il>","[""kg""]","Free","","20%","",""
"","1","Other, in coils, not further worked than hot-rolled, pickled:","","","","","",""
"7208.25","2","Of a thickness of <il>4.75 mm</il> or more:","","","","","",""
"7208.25.30.00","3","Of high-strength steel","[""kg""]","Free","","20%","",""
"7208.25.60.00","3","Other","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7208.26.00","2","Of a thickness of 3 mm or more but less than <il>4.75 mm</il>","","Free","","0.4¢/kg + 20%","",""
"7208.26.00.30","3","High-strength steel","[""kg""]","","","","",""
