HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6005.36.00","2","Other, unbleached or bleached","","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","113.5%","",""
"6005.36.00.10","3","Open-work fabrics (229)","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"6005.36.00.20","4","Stitch-bonded goods (223)","[""kg""]","","","","",""
"6005.36.00.80","4","Other (222)","[""kg""]","","","","",""
"6005.37.00","2","Other, dyed","","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","113.5%","",""
"6005.37.00.10","3","Open-work fabrics (229)","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"6005.37.00.20","4","Stitch-bonded goods (223)","[""kg""]","","","","",""
"6005.37.00.80","4","Other (222)","[""kg""]","","","","",""
"6005.38.00","2","Other, of yarns of different colors","","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","113.5%","",""
"6005.38.00.10","3","Open-work fabrics (229)","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"6005.38.00.20","4","Stitch-bonded goods (223)","[""kg""]","","","","",""
"6005.38.00.80","4","Other (222)","[""kg""]","","","","",""
"6005.39.00","2","Other, printed","","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","113.5%","",""
"6005.39.00.10","3","Open-work fabrics (229)","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"6005.39.00.20","4","Stitch-bonded goods (223)","[""kg""]","","","","",""
"6005.39.00.80","4","Other (222)","[""kg""]","","","","",""
"","1","Of artificial fibers:","","","","","",""
"6005.41.00","2","Unbleached or bleached","","10%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","113.5%","",""
"6005.41.00.10","3","Open-work fabrics (229)","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"6005.41.00.20","4","Stitch-bonded goods (223)","[""kg""]","","","","",""
"6005.41.00.80","4","Other (222)","[""kg""]","","","","",""
"6005.42.00","2","Dyed","","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","113.5%","",""
"6005.42.00.10","3","Open-work fabrics (229)","[""kg""]","","","","",""
"","3","Other:","","","","","",""
