HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7409.90.50","3","Of a width of 500 mm or more","","1.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9%","",""
"7409.90.50.30","4","Of beryllium copper","[""kg"",""Cu kg""]","","","","",""
"7409.90.50.60","4","Other","[""kg"",""Cu kg""]","","","","",""
"7409.90.90","3","Of a width of less than 500 mm","","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","49%","",""
"7409.90.90.30","4","Of beryllium copper","[""kg"",""Cu kg""]","","","","",""
"7409.90.90.60","4","Other","[""kg"",""Cu kg""]","","","","",""
"7410","0","Copper foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.15 mm:","","","","","",""
"","1","Not backed:","","","","","",""
"7410.11.00.00","2","Of refined copper","[""kg""]","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","6.5%","",""
"7410.12.00","2","Of copper alloys","","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","6.5%","",""
"7410.12.00.30","3","Of copper-zinc base alloys (brass)","[""kg""]","","","","",""
"7410.12.00.60","3","Other","[""kg""]","","","","",""
"","1","Backed:","","","","","",""
"7410.21","2","Of refined copper:","","","","","",""
"7410.21.30","3","Copper clad laminates","","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","4","Having a base wholly of plastics impregnated glass:","","","","","",""
"7410.21.30.20","5","Having copper on one side only","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"7410.21.30.40","5","Having copper on both sides","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"7410.21.30.60","4","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"7410.21.60.00","3","Other","[""kg""]","1.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","6%","",""
"7410.22.00.00","2","Of copper alloys","[""kg""]","1.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","6%","",""
"7411","0","Copper tubes and pipes:","","","","","",""
"7411.10","1","Of refined copper:","","","","","",""
"7411.10.10","2","Seamless","","1.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13%","",""
"7411.10.10.30","3","Having an outside diameter of 6 mm or more but not exceeding 16 mm, in coils on spools","[""kg""]","","","","",""
"7411.10.10.90","3","Other","[""kg""]","","","","",""
"7411.10.50.00","2","Other","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","47%","",""
"","1","Of copper alloys:","","","","","",""
"7411.21","2","Of copper-zinc base alloys (brass):","","","","","",""
