HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1512.19.00","2","Other","","1.7¢/kg + 3.4%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","9.9¢/kg + 20%","",""
"","3","Sunflower-seed oil:","","","","","",""
"1512.19.00.25","4","Certified organic","[""kg""]","","","","",""
"1512.19.00.35","4","Other","[""kg""]","","","","",""
"1512.19.00.40","3","Safflower oil","[""kg""]","","","","",""
"","1","Cottonseed oil and its fractions:","","","","","",""
"1512.21.00.00","2","Crude oil, whether or not gossypol has been removed","[""kg""]","5.6¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"1512.29.00","2","Other","","5.6¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"1512.29.00.20","3","Once-refined (subjected to alkalai or caustic wash, but not bleached or deodorized)","[""kg""]","","","","",""
"1512.29.00.40","3","Other (fully refined, washed, bleached or deodorized)","[""kg""]","","","","",""
"1513","0","Coconut (copra), palm kernel or babassu oil, and fractions thereof, whether or not refined, but not chemically modified:","","","","","",""
"","1","Coconut (copra) oil and its fractions:","","","","","",""
"1513.11.00.00","2","Crude oil","[""kg""]","Free","","4.4¢/kg","",""
"1513.19.00.00","2","Other","[""kg""]","Free","","4.4¢/kg","",""
"","1","Palm kernel or babassu oil and fractions thereof:","","","","","",""
"1513.21.00.00","2","Crude oil","[""kg""]","Free","","2.2¢/kg","",""
"1513.29.00.00","2","Other","[""kg""]","Free","","2.2¢/kg","",""
"1514","0","Rapeseed, colza or mustard oil, and fractions thereof, whether or not refined, but not chemically modified:","","","","","",""
"","1","Low erucic acid rape or colza oil and its fractions:","","","","","",""
"1514.11.00.00","2","Crude oil","[""kg""]","6.4%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","22.5%","",""
