HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2710.19.11","4","Testing 25 degrees A.P.I. or more","","10.5¢/bbl","Free (A+,AU,BH,CL,CO,D, IL,JO, KR,MA,OM,P, PA,PE,R,S,SG)","21¢/bbl","",""
"","5","Having a Saybolt Universal viscosity at 37.8˚C of less than 45 seconds (light fuel oils):","","","","","",""
"","6","Fuel oils Nos. 2 and 3:","","","","","",""
"","7","Diesel oil:","","","","","",""
"2710.19.11.02","8","Containing not more than 15 ppm of sulfur","[""bbl""]","","","","",""
"2710.19.11.03","8","Containing more than 15 ppm but not more than 500 ppm of sulfur","[""bbl""]","","","","",""
"2710.19.11.04","8","Containing more than 500 ppm of sulfur","[""bbl""]","","","","",""
"","7","Other:","","","","","",""
"2710.19.11.05","8","Containing not more than 15 ppm of sulfur","[""bbl""]","","","","",""
"2710.19.11.07","8","Containing more than 15 ppm but not more than 500 ppm of sulfur","[""bbl""]","","","","",""
"2710.19.11.08","8","Containing more than 500 ppm of sulfur","[""bbl""]","","","","",""
"","6","Other:","","","","","",""
"2710.19.11.11","7","Containing not more than 15 ppm of sulfur","[""bbl""]","","","","",""
"2710.19.11.13","7","Containing more than 15 ppm but not more than 500 ppm of sulfur","[""bbl""]","","","","",""
"2710.19.11.14","7","Containing more than 500 ppm of sulfur","[""bbl""]","","","","",""
"","5","Having a Saybolt Universal viscosity at 37.8˚C of 45 seconds or more but not more than 125 seconds (No. 4-type fuel oils):","","","","","",""
"2710.19.11.15","6","Containing not more than 500 ppm of sulfur","[""bbl""]","","","","",""
"2710.19.11.25","6","Containing more than 500 ppm of sulfur","[""bbl""]","","","","",""
"2710.19.11.50","5","Having a Saybolt Universal viscosity at 37.8˚C of more than 125 seconds (heavy fuel oils)","[""bbl""]","","","","",""
"2710.19.16.00","3","Kerosene-type jet fuel","[""bbl""]","52.5¢/bbl","Free (A+,AU,BH,CL,CO,D, IL,JO, KR,MA,OM,P, PA,PE,R,S,SG)","$1.05/bbl","",""
"","3","Kerosene (except kerosene-type jet fuel):","","","","","",""
"2710.19.24.00","4","Motor fuel","[""bbl""]","52.5¢/bbl","Free (A+,AU,BH,CL,CO,D, IL,JO, KR,MA,OM,P, PA,PE,R,S,SG)","$1.05/bbl","",""
"2710.19.25.00","4","Motor fuel blending stock","[""bbl""]","52.5¢/bbl","Free (A+,AU,BH,CL,CO,D, IL,JO, KR,MA,OM,P, PA,PE,R,S,SG)","$1.05/bbl","",""
"2710.19.26.00","4","Kerosene (except kerosene-type jet fuel","[""bbl""]","10.5¢/bbl","Free (A+,AU,BH,CL,CO,D, IL,JO, KR,MA,OM,P, PA,PE,R,S,SG)","21¢/bbl","",""
"","3","Lubricating oils and greases, with or without additives:","","","","","",""
"2710.19.30","4","Oils","","84¢/bbl","Free (A+,AU,BH,CL,CO,D, IL,JO, KR,MA,OM,P, PA,PE,R,S,SG)","$1.68/bbl","",""
"2710.19.30.10","5","Aviation engine lubricating oils","[""bbl""]","","","","",""
"2710.19.30.20","5","Automotive, diesel or marine engine lubricating oils","[""bbl""]","","","","",""
"2710.19.30.30","5","Turbine lubricating oil, including marine","[""bbl""]","","","","",""
"2710.19.30.40","5","Automotive gear oils","[""bbl""]","","","","",""
"2710.19.30.50","5","Steam cylinder oils","[""bbl""]","","","","",""
"2710.19.30.70","5","Quenching or cutting oils","[""bbl""]","","","","",""
"2710.19.30.80","5","Other","[""bbl""]","","","","",""
"","4","Greases:","","","","","",""
"2710.19.35.00","5","Containing not over 10 percent by weight of salts of fatty acids of animal (including marine animal) or vegetable origin","[""kg""]","5.8%","Free (A,AU,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","20%","",""
"2710.19.40.00","5","Other","[""kg""]","1.3¢/kg + 5.7%","Free (A,AU,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","4.4¢/kg + 20%","",""
"","3","Other:","","","","","",""
"2710.19.45","4","Mixtures of hydrocarbons not elsewhere specified or included, which contain by weight not over 50 percent of any single hydrocarbon compound","","10.5¢/bbl","Free (A+,AU,BH,CL,CO,D, IL,JO, KR,MA,OM,P, PA,PE,R,S,SG)","21¢/bbl","",""
"","5","White mineral oil:","","","","","",""
"2710.19.45.30","6","Medicinal grade","[""bbl""]","","","","",""
"2710.19.45.40","6","Other","[""bbl""]","","","","",""
"2710.19.45.45","5","Insulating or transformer oils","[""bbl""]","","","","",""
"2710.19.45.90","5","Other","[""bbl""]","","","","",""
"2710.19.90.00","4","Other","[""kg"",""liters""]","7%","Free (A+,AU,BH,CL,CO,D, E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","25%","",""
"2710.20","1","Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included containing by weight 70 percent or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, containing biodiesel, other than waste oils:","","","","","",""
"","2","Distillate and residual fuel oils (including blended fuel oils):","","","","","",""
