HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5607.49.15.00","4","Measuring less than <il>4.8 mm</il> in diameter (201)","[""kg""]","7%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","76.5%","",""
"5607.49.25.00","4","Other (201)","[""kg""]","9.8¢/kg + 5.3%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","27.6¢/kg + 76.5%","",""
"5607.49.30.00","3","Other (669)","[""kg""]","3.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","60%","",""
"5607.50","1","Of other synthetic fibers:","","","","","",""
"","2","Not braided or plaited:","","","","","",""
"5607.50.25.00","3","3-ply or 4-ply multicolored twine having a final ""S"" twist, containing at least 10 percent by weight of cotton, measuring less than 3.5 mm in diameter (201)","[""kg""]","7%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","76.5%","",""
"5607.50.35.00","3","Other (201)","[""kg""]","19.9¢/kg + 10.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","27.6¢/kg + 76.5%","",""
"5607.50.40.00","2","Other (669)","[""kg""]","3.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","60%","",""
"5607.90","1","Other:","","","","","",""
"5607.90.10.00","2","Of coir","[""kg""]","Free","","Free","",""
"5607.90.15.00","2","Of jute or other textile bast fibers of heading 5303","[""kg""]","Free","","20%","",""
"","2","Of abaca (Manila hemp or <u>Musa</u> <u>textilis</u> <u>Nee</u>) or other hard (leaf) fibers:","","","","","",""
"5607.90.25.00","3","Of stranded construction measuring 1.88 cm or over in diameter","[""kg""]","Free","","4¢/kg","",""
"5607.90.35.00","3","Other","[""kg""]","3.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
