HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","5","With movement measuring not over 15.2 mm:","","","","","",""
"9102.29.25","6","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver- plated","","$2.19 each + 4.8% on the case + 11.2% on the strap, band or bracelet","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$4.20 each + 45% on the case + 110% on the strap, band or bracelet","",""
"9102.29.30","6","Other","","$2.19 each + 4.8% on the case + 2.2% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$4.20 each + 45% on the case + 35% on the strap, band or bracelet","",""
"","5","With movement measuring over 15.2 mm:","","","","","",""
"9102.29.35","6","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver- plated","","$1.61 each + 4.2% on the case + 9.8% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE, R,S,SG)","$4.20 each + 45% on the case + 110% on the strap, band or bracelet","",""
"9102.29.40","6","Other","","$1.83 each + 4.8% on the case + 2.2% on the strap, band or bracelet","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$4.20 each + 45% on the case + 35% on the strap, band or bracelet","",""
"","4","With movement valued over $15 each:","","","","","",""
"9102.29.45","5","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver-plated","","93¢ each + 4.8% on the case + 11.2% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$4.20 each + 45% on the case + 110% on the strap, band or bracelet","",""
"9102.29.50","5","Other","","93¢ each + 4.8% on the case + 2.2% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$4.20 each + 45% on the case + 35% on the strap, band or bracelet","",""
"","3","Having over 17 jewels in the movement:","","","","","",""
"9102.29.55","4","With strap, band or bracelet of textile material or of base metal, whether or not gold-or silver-plated","","$1.55 each + 4.2% on the case + 9.9% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$10.95 each + 45% on the case + 110% on the strap, band or bracelet","",""
"9102.29.60","4","Other","","$1.75 each + 4.8% on the case + 2.2% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$10.95 each + 45% on the case + 35% on the strap, band or bracelet","",""
"","1","Other:","","","","","",""
"9102.91","2","Electrically operated:","","","","","",""
"9102.91.20","3","With opto-electronic display only","","3.9% on the movement and case + 5.3% on the battery","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","35%","",""
"","3","Other:","","","","","",""
"9102.91.40","4","Having no jewels or only one jewel in the movement","","40¢ each + 6% on the case + 5.3% on the battery","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$1.70 each + 45% on the case + 35% on the battery","",""
"9102.91.80","4","Other","","76¢ each + 6% on the case + 5.3% on the battery","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$2.70 each + 45% on the case + 35% on thebattery","",""
"9102.99","2","Other:","","","","","",""
"9102.99.20","3","Having no jewels or not over 7 jewels in the movement","","20¢ each + 3% on the case","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$1.70 each + 45% on the case","",""
"","3","Having over 7 but not over 17 jewels in the movement:","","","","","",""
"9102.99.40","4","With movement valued not over $15 each","","92¢ each + 3% on the case","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$4.20 each + 45% on the case","",""
"9102.99.60","4","With movement valued over $15 each","","$1.16 each + 6% on the case","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$4.20 each + 45% on the case","",""
"9102.99.80","3","Having over 17 jewels in the movement","","$2.19 each + 6% on the case","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$10.95 each + 45% on the case","",""
"9103","0","Clocks with watch movements, excluding clocks of heading 9104:","","","","","",""
"9103.10","1","Electrically operated:","","","","","",""
"9103.10.20","2","With opto-electronic display only","","2.6% on the movement and case + 3.6% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","35%","",""
"","2","Other:","","","","","",""
"9103.10.40","3","Having no jewels or only one jewel in the movement","","24¢ each + 4.5% on the case + 3.5% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$1.50 each + 45% on the case + 35% on the battery","",""
"9103.10.80","3","Other","","48¢ each + 4.6% on the case + 3.5% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$2.50 each + 45% on the case + 35% on the battery","",""
"9103.90.00","1","Other","","24¢ each + 4.6% on the case","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$1.50 each + 45% on the case","",""
"9104.00","0","Instrument panel clocks and clocks of a similar type for vehicles, aircraft, spacecraft or vessels:","","","","","",""
"","1","With clock movements measuring over 50 mm in width or diameter:","","","","","",""
"","2","Valued not over $10 each:","","","","","",""
"9104.00.05","3","With opto-electronic display only","","2.6% on the movement and case + 3.5% on the battery","Free (A+,AU,B,BH, C,CL,CO,D,E, IL,JO,KR, MA,OM,P, PA,PE,S,SG)","35%","",""
"","3","Other:","","","","","",""
"9104.00.10","4","Electric (including battery operated)","","20¢ each + 4.3% on the movement and case + 3.5% on the battery","Free (A+,AU,B,BH, C,CL,CO,D,E, IL,JO,KR,MA,OM,P, PA,PE,S,SG)","$3 each + 65% on the movement and case + 35% on the battery","",""
"9104.00.20.00","4","Other","[""No.""]","30¢ each + 6.4%","Free (A+,AU,B,BH, C,CL,CO,D,E, IL,JO,KR,MA,OM,P, PA,PE,S,SG)","$3 each + 65%","",""
