HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","3","Empty cartridge shells:","","","","","",""
"9306.30.41.40","4","For rifles or pistols","[""No.""]","","","","",""
"9306.30.41.50","4","Other","[""No.""]","","","","",""
"9306.30.41.60","3","Other","[""No.""]","","","","",""
"9306.30.80.00","2","Other","[""kg""]","Free","","45%","",""
"9306.90.00","1","Other","","Free","","45%","",""
"9306.90.00.20","2","Guided missiles","[""No.""]","","","","",""
"","2","Bombs, grenades, torpedoes, mines and similar munitions of war; other ammunition and projectiles:","","","","","",""
"9306.90.00.41","3","Paintballs","[""No.""]","","","","",""
"9306.90.00.50","3","Other","[""kg""]","","","","",""
"9306.90.00.60","2","Parts for guided missiles","[""kg""]","","","","",""
"9306.90.00.80","2","Parts for bombs, grenades, torpedoes, mines and similar munitions of war; parts of other ammunition and projectiles","[""kg""]","","","","",""
"9307.00.00.00","0","Swords, cutlasses, bayonets, lances and similar arms and parts thereof and scabbards and sheaths therefor","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
