HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5205.33.00.00","2","Exceeding 43 nm but not exceeding 52 nm per single yarn (300)","[""kg""]","8.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","18.9%","",""
"5205.34.00.00","2","Exceeding 52 nm but not exceeding 80 nm per single yarn (300)","[""kg""]","9.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","22.3%","",""
"5205.35.00.00","2","Exceeding 80 nm per single yarn (300)","[""kg""]","12%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","34.1%","",""
"","1","Multiple (folded) or cabled yarn, of combed fibers:","","","","","",""
"5205.41.00","2","Not exceeding 14 nm per single yarn","","5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11.9%","",""
"5205.41.00.20","3","Ring spun (301)","[""kg""]","","","","",""
"5205.41.00.90","3","Other (301)","[""kg""]","","","","",""
"5205.42.00","2","Exceeding 14 nm but not exceeding 43 nm per single yarn","","6.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.3%","",""
"","3","Ring spun:","","","","","",""
"5205.42.00.21","4","Compact, exceeding 41 nm (301)","[""kg""]","","","","",""
"5205.42.00.29","4","Other (301)","[""kg""]","","","","",""
"5205.42.00.90","3","Other (301)","[""kg""]","","","","",""
"5205.43.00","2","Exceeding 43 nm but not exceeding 52 nm per single yarn","","8.6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","18.9%","",""
"","3","Ring spun:","","","","","",""
"5205.43.00.21","4","Compact (301)","[""kg""]","","","","",""
"5205.43.00.29","4","Other (301)","[""kg""]","","","","",""
"5205.43.00.90","3","Other (301)","[""kg""]","","","","",""
"5205.44.00","2","Exceeding 52 nm but not exceeding <il>80 nm</il> per single yarn","","9.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","22.3%","",""
"","3","Ring spun:","","","","","",""
"5205.44.00.21","4","Compact (301)","[""kg""]","","","","",""
"5205.44.00.29","4","Other (301)","[""kg""]","","","","",""
"5205.44.00.90","3","Other (301)","[""kg""]","","","","",""
"","1","Multiple (folded) or cabled yarn, of combed fibers (con.):","","","","","",""
"5205.46.00","2","Measuring per single yarn less than 125 decitex but not less than 106.38 decitex (exceeding 80 metric number but not exceeding 94 metric number)","","12%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","34.1%","",""
"","3","Ring spun:","","","","","",""
"5205.46.00.21","4","Compact (301)","[""kg""]","","","","",""
"5205.46.00.29","4","Other (301)","[""kg""]","","","","",""
"5205.46.00.90","3","Other (301)","[""kg""]","","","","",""
"5205.47.00","2","Measuring per single yarn less than 106.38 decitex but not less than 83.33 decitex (exceeding 94 metric number but not exceeding 120 metric number)","","12%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","34.1%","",""
"","3","Ring spun:","","","","","",""
"5205.47.00.21","4","Compact, not exceeding 102 nm (301)","[""kg""]","","","","",""
"5205.47.00.29","4","Other (301)","[""kg""]","","","","",""
"5205.47.00.90","3","Other (301)","[""kg""]","","","","",""
