HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7304.29.20.30","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.29.20.40","7","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"","6","Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:","","","","","",""
"7304.29.20.50","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.29.20.60","7","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"7304.29.20.80","6","Having an outside diameter exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"","4","Of other alloy steel:","","","","","",""
"7304.29.31","5","Threaded or coupled","","Free","","28%","",""
"","6","Having an outside diameter less than <il>215.9 mm</il>:","","","","","",""
"7304.29.31.10","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.29.31.20","7","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"","6","Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>285.8 mm</il>:","","","","","",""
"7304.29.31.30","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.29.31.40","7","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"","6","Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:","","","","","",""
"7304.29.31.50","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.29.31.60","7","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"7304.29.31.80","6","Having an outside diameter exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"7304.29.41","5","Other","","Free","","8.5%","",""
"","6","Having an outside diameter less than <il>215.9 mm</il>:","","","","","",""
"7304.29.41.10","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.29.41.20","7","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"","6","Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>285.8 mm</il>:","","","","","",""
"7304.29.41.30","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.29.41.40","7","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"","6","Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:","","","","","",""
"7304.29.41.50","7","Having a wall thickness less than <il>12.7 mm</il>","[""kg""]","","","","",""
"7304.29.41.60","7","Having a wall thickness of <il>12.7 mm</il> or more","[""kg""]","","","","",""
"7304.29.41.80","6","Having an outside diameter exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"","3","Tubing:","","","","","",""
"7304.29.50","4","Of iron or nonalloy steel","","Free","","25%","",""
"","5","Having an outside diameter not exceeding <il>114.3 mm</il>:","","","","","",""
"7304.29.50.15","6","Having a wall thickness not exceeding <il>9.5 mm</il>","[""kg""]","","","","",""
"7304.29.50.30","6","Having a wall thickness exceeding <il>9.5 mm</il>","[""kg""]","","","","",""
"7304.29.50.45","5","Having an outside diameter exceeding <il>114.3 mm</il> but less than <il>215.9 mm</il>","[""kg""]","","","","",""
"7304.29.50.60","5","Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"7304.29.50.75","5","Having an outside diameter exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
"7304.29.61","4","Of other alloy steel","","Free","","35%","",""
"","5","Having an outside diameter not exceeding <il>114.3 mm</il>:","","","","","",""
"7304.29.61.15","6","Having a wall thickness not exceeding <il>9.5 mm</il>","[""kg""]","","","","",""
"7304.29.61.30","6","Having a wall thickness exceeding <il>9.5 mm</il>","[""kg""]","","","","",""
"7304.29.61.45","5","Having an outside diameter exceeding <il>114.3 mm</il> but less than <il>215.9 mm</il>","[""kg""]","","","","",""
"7304.29.61.60","5","Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>406.4 mm</il>","[""kg""]","","","","",""
