HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2620.19.60.30","4","Zinc content","[""Zn kg""]","","","","",""
"2620.19.60.40","4","Silver content","[""Ag g""]","","","","",""
"2620.19.60.50","4","Gold content","[""Au g""]","","","","",""
"","1","Containing mainly lead:","","","","","",""
"2620.21.00","2","Leaded gasoline sludges and leaded anti-knock compound sludges","","Free","","8.8¢/kg on copper content + 3.3¢/kg on lead content + 3.7¢/kg on zinc content","",""
"2620.21.00.10","3","Copper content","[""Cu kg""]","","","","",""
"2620.21.00.20","3","Lead content","[""Pb kg""]","","","","",""
"2620.21.00.30","3","Zinc content","[""Zn kg""]","","","","",""
"2620.21.00.40","3","Silver content","[""Ag g""]","","","","",""
"2620.21.00.50","3","Gold content","[""Au g""]","","","","",""
"2620.29.00","2","Other","","Free","","8.8¢/kg on copper content + 3.3¢/kg on lead content + 3.7¢/kg on zinc content","",""
"2620.29.00.10","3","Copper content","[""Cu kg""]","","","","",""
"2620.29.00.20","3","Lead content","[""Pb kg""]","","","","",""
"2620.29.00.30","3","Zinc content","[""Zn kg""]","","","","",""
"2620.29.00.40","3","Silver content","[""Ag g""]","","","","",""
"2620.29.00.50","3","Gold content","[""Au g""]","","","","",""
"2620.30.00","1","Containing mainly copper","","Free","","8.8¢/kg on copper content + 3.3¢/kg on lead content + 3.7¢/kg on zinc content","",""
"2620.30.00.10","2","Copper content","[""Cu kg""]","","","","",""
"2620.30.00.20","2","Lead content","[""Pb kg""]","","","","",""
"2620.30.00.30","2","Zinc content","[""Zn kg""]","","","","",""
"2620.30.00.40","2","Silver content","[""Ag g""]","","","","",""
"2620.30.00.50","2","Gold content","[""Au g""]","","","","",""
"2620.40.00","1","Containing mainly aluminum","","Free","","Free","",""
"2620.40.00.30","2","Vanadium bearing materials","[""kg"",""V<sub>2<\/sub>O<sub>5<\/sub> kg""]","","","","",""
"2620.40.00.60","2","Other","[""kg""]","","","","",""
"2620.60","1","Containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metalsor for the manufacture of their chemical compounds:","","","","","",""
"2620.60.10.00","2","Of a kind used only for the extraction of arsenic or the manufacture of its chemical compounds","[""kg""]","5%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"2620.60.90.00","2","Other","[""kg""]","Free","","30%","",""
"","1","Other:","","","","","",""
"2620.91.00.00","2","Containing antimony, beryllium, cadmium, chromium or their mixtures","[""kg""]","Free","","30%","",""
"2620.99","2","Other:","","","","","",""
"2620.99.10.00","3","Containing mainly vanadium","[""kg"",""V<sub>2<\/sub>O<sub>5<\/sub> kg""]","Free","","Free","",""
"2620.99.20.00","3","Containing mainly tungsten","[""kg"",""W kg""]","17.6¢/kg on tungsten content + 3.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1.32/kg on tungsten content + 40%","",""
"2620.99.30.00","3","Materials not provided for elsewhere in this heading containing by weight over 10 percent nickel","[""kg"",""Ni kg""]","Free","","Free","",""
"2620.99.50.00","3","Slag containing by weight over 40 percent titanium, and which if containing over 2 percent by weight of copper, lead, or zinc is not to be treated for the recovery thereof","[""kg""]","Free","","Free","",""
"2620.99.75","3","Other materials which are residues not advanced in value or condition by any means, and which if containing over 2 percent by weight of copper, lead or zinc are not to be treated for the recovery thereof","","Free","","Free","",""
"2620.99.75.20","5","Vanadium bearing materials","[""kg"",""V<sub>2<\/sub>O<sub>5<\/sub> kg""]","","","","",""
"2620.99.75.60","5","Other materials containing silver","[""Au g""]","","","","",""
"2620.99.75.80","5","Other materials containing gold","[""Au g""]","","","","",""
"2620.99.75.90","5","Other materials that do not contain vanadium, silver or gold","[""kg""]","","","","",""
"2620.99.85.00","3","Other","[""kg""]","Free","","30%","",""
"2621","0","Other slag and ash, including seaweed ash (kelp); ash and residues from the incineration of municipal waste:","","","","","",""
"2621.10.00.00","1","Ash and residues from the incineration of municipal waste","[""t""]","Free","","Free","",""
"2621.90.00.00","1","Other","[""t""]","Free","","Free","",""
