HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6907.23.10.51","5","Other","[""m<sup>2<\/sup>""]","","","","",""
"","3","Glazed:","","","","","",""
"","4","The largest surface area of which is capable of being enclosed in a square the side of which is less than 7 cm:","","","","","",""
"6907.23.20.00","5","Having not over 3229 tiles per square meter, most of which have faces bounded entirely by straight lines","[""m<sup>2<\/sup>""]","10%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"","5","Other:","","","","","",""
"6907.23.30.00","6","The largest surface area of which is less than 38.7 cm<sup>2</sup>","[""m<sup>2<\/sup>""]","10%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.23.40.00","6","Other","[""m<sup>2<\/sup>""]","8.5%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.23.90","4","Other","","8.5%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.23.90.11","5","Tiles, the largest surface area of which is capable of being enclosed in a square the side of which is 30 cm or less","[""m<sup>2<\/sup>""]","","","","",""
"6907.23.90.51","5","Other","[""m<sup>2<\/sup>""]","","","","",""
"6907.30","1","Mosaic cubes and the like, other than those of subheading 6907.40:","","","","","",""
"6907.30.10","2","Unglazed","","10%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.30.10.05","3","Cubes and the like, whether or not rectangular, the largest surface area of which is capable of being enclosed in a square the side of which is less than 7 cm","[""m<sup>2<\/sup>""]","","","","",""
"","3","Other:","","","","","",""
"6907.30.10.11","4","Cubes and the like, the largest surface area of which is capable of being enclosed in a square the side of which is 30cm or less","[""m<sup>2<\/sup>""]","","","","",""
"6907.30.10.51","4","Other","[""m<sup>2<\/sup>""]","","","","",""
"","2","Glazed:","","","","","",""
"","3","The largest surface area of which is capable of being enclosed in a square the side of which is less than 7 cm:","","","","","",""
"6907.30.20.00","4","Having not over 3229 cubes per square meter, most of which have straight lines","[""m<sup>2<\/sup>""]","10%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"","4","Other:","","","","","",""
"6907.30.30.00","5","The largest surface area of which is less than 38.7 cm<sup>2</sup>","[""m<sup>2<\/sup>""]","10%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.30.40.00","5","Other","[""m<sup>2<\/sup>""]","8.5%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.30.90","3","Other","","8.5%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.30.90.11","4","Cubes and the like, the largest surface area of which is capable of being enclosed in a square the side of which is 30 cm or less","[""m<sup>2<\/sup>""]","","","","",""
"6907.30.90.51","4","Other","[""m<sup>2<\/sup>""]","","","","",""
"6907.40","1","Finishing ceramics:","","","","","",""
"6907.40.10","2","Unglazed","","10%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.40.10.05","3","Finishing ceramics, whether or not rectangular, the largest surface area of which is capable of being enclosed in a square the side of which is less than 7 cm:","[""m<sup>2<\/sup>""]","","","","",""
"","3","Other:","","","","","",""
"6907.40.10.11","4","Finishing ceramics, the largest surface area of which is capable of being enclosed in a square the side of which is 30 cm or less","[""m<sup>2<\/sup>""]","","","","",""
"6907.40.10.51","4","Other","[""m<sup>2<\/sup>""]","","","","",""
"","2","Glazed:","","","","","",""
"","3","The largest surface area of which is capable of being enclosed in a square the side of which is less than 7 cm:","","","","","",""
"6907.40.20.00","4","Having not over 3229 finishing ceramics per square meter, most of which have faces bounded entirely by straight lines","[""m<sup>2<\/sup>""]","10%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"","4","Other:","","","","","",""
"6907.40.30.00","5","The largest surface area of which is less than 38.7 cm<sup>2</sup>","[""m<sup>2<\/sup>""]","10%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.40.40.00","5","Other","[""m<sup>2<\/sup>""]","8.5%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.40.90","3","Other","","8.5%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.40.90.11","4","Finishing ceramics, the largest surface area of which is capable of being enclosed in a square the side of which is 30 cm or less","[""m<sup>2<\/sup>""]","","","","",""
"6907.40.90.51","4","Other","[""m<sup>2<\/sup>""]","","","","",""
"6909","0","Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods:","","","","","",""
"","1","Ceramic wares for laboratory, chemical or other technical uses:","","","","","",""
"6909.11","2","Of porcelain or china:","","","","","",""
