HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2824.90.20.00","2","Red lead and orange lead","[""kg""]","3.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","12.5%","",""
"2824.90.50.00","2","Other","[""kg""]","4.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"2825","0","Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides:","","","","","",""
"2825.10.00.00","1","Hydrazine and hydroxylamine and their inorganic salts","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2825.20.00.00","1","Lithium oxide and hydroxide","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2825.30.00","1","Vanadium oxides and hydroxides","","5.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"2825.30.00.10","2","Vanadium pentoxide (anhydride)","[""kg"",""V kg""]","","","","",""
"2825.30.00.50","2","Other","[""kg"",""V kg""]","","","","",""
"2825.40.00.00","1","Nickel oxides and hydroxides","[""kg""]","Free","","Free","",""
"2825.50","1","Copper oxides and hydroxides:","","","","","",""
"2825.50.10.00","2","Cupric oxide","[""kg""]","4.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","31%","",""
"2825.50.20.00","2","Cuprous oxide","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","39.5%","",""
"2825.50.30.00","2","Copper hydroxides","[""kg""]","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","32.5%","",""
"2825.60.00","1","Germanium oxides and zirconium dioxide","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2825.60.00.10","2","Germanium dioxide","[""kg""]","","","","",""
"2825.60.00.20","2","Zirconium dioxide","[""kg""]","","","","",""
"2825.60.00.50","2","Other","[""kg""]","","","","",""
"2825.70.00.00","1","Molybdenum oxides and hydroxides","[""kg""]","3.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20.5%","",""
"2825.80.00.00","1","Antimony oxides","[""kg""]","Free","","4.4¢/kg","",""
"2825.90","1","Other:","","","","","",""
"2825.90.10.00","2","Beryllium oxide and hydroxide","[""kg""]","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
