HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5404.12.90.00","3","Other","[""kg""]","6.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5404.19","2","Other:","","","","","",""
"5404.19.10.00","3","Racket strings","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"5404.19.80","3","Other","","6.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5404.19.80.20","4","Of nylon or other polyamides","[""kg""]","","","","",""
"5404.19.80.40","4","Of polyesters","[""kg""]","","","","",""
"5404.19.80.80","4","Other","[""kg""]","","","","",""
"5404.90.00.00","1","Other","[""kg""]","Free","","45%","",""
"5405.00","0","Artificial monofilament of <il>67 decitex</il> or more and of which no cross-sectional dimension exceeds 1 mm; strip and the like (for example, artificial straw) of artificial textile materials of an apparent width not exceeding 5 mm:","","","","","",""
"5405.00.30.00","1","Monofilament","[""kg""]","6.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5405.00.60.00","1","Other","[""kg""]","5.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"5406.00","0","Man-made filament yarn (other than sewing thread), put up for retail sale:","","","","","",""
"5406.00.10","1","Synthetic filament yarn","","7.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"5406.00.10.20","2","Of acrylic (200)","[""kg""]","","","","",""
"5406.00.10.40","2","Of polyesters (200)","[""kg""]","","","","",""
"5406.00.10.90","2","Other (200)","[""kg""]","","","","",""
"5406.00.20.00","1","Artificial filament yarn (200)","[""kg""]","7.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5407","0","Woven fabrics of synthetic filament yarn, including woven fabrics obtained from materials of heading 5404:","","","","","",""
"5407.10.00","1","Woven fabrics obtained from high tenacity yarn of nylon or other polyamides or of polyesters","","13.6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"5407.10.00.10","2","Of polyester, weighing not more than 170 g/m² (619)","[""m²"",""kg""]","","","","",""
"5407.10.00.90","2","Other (620)","[""m²"",""kg""]","","","","",""
"5407.20.00.00","1","Woven fabrics obtained from strip or the like (620)","[""m²"",""kg""]","Free","","81%","",""
"5407.30","1","Fabrics specified in note 9 to section XI:","","","","","",""
"5407.30.10.00","2","Over 60 percent by weight of plastics","[""m²"",""kg""]","Free","","40%","",""
"5407.30.90.00","2","Other (620)","[""m²"",""kg""]","8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","83.5%","",""
"","1","Other woven fabrics, containing 85 percent or more by weight of filaments of nylon or other polyamides:","","","","","",""
"5407.41.00","2","Unbleached or bleached","","13.6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"","3","Suitable for making typewriter and machine ribbon, containing yarns the average decitex of which exceeds 28 but not 83, the total thread count (treating multiple (folded) or cabled yarns as single threads), of which per centimeter is not less than 59 warp and 39 filling and not more than 83 warp and 55 filling and in which the thread count of the warp does not exceed 60 percent of the total thread count of the warp and filling:","","","","","",""
"5407.41.00.10","4","With both selvages woven (621)","[""m²"",""<u>kg<\/u>""]","","","","",""
"5407.41.00.20","4","Other (621)","[""m²"",""<u>kg<\/u>""]","","","","",""
"","3","Other:","","","","","",""
"5407.41.00.30","4","Weighing not more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.41.00.60","4","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.42.00","2","Dyed","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"5407.42.00.30","3","Weighing not more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.42.00.60","3","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.43","2","Of yarns of different colors:","","","","","",""
"5407.43.10.00","3","The thread count of which per cm (treating multiple (folded) or cabled yarns as single threads) is over 69 but not over 142 in the warp and over 31 but not over 71 in the filling (620)","[""m²"",""kg""]","12.2¢/kg + 11.3%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","24.3¢/kg + 81%","",""
"5407.43.20","3","Other","","8.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"5407.43.20.30","4","Weighing not more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.43.20.60","4","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.44.00","2","Printed","","12%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"5407.44.00.30","3","Weighing not more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.44.00.60","3","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"","1","Other woven fabrics, containing 85 percent or more by weight of textured polyester filaments:","","","","","",""
"5407.51.00","2","Unbleached or bleached","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"","3","Weighing not more than 170 g/m²:","","","","","",""
"5407.51.00.20","4","Flat fabrics (619)","[""m²"",""kg""]","","","","",""
"5407.51.00.40","4","Other (619)","[""m²"",""kg""]","","","","",""
"5407.51.00.60","3","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.52","2","Dyed:","","","","","",""
"5407.52.05.00","3","Measuring less than 77 cm in width or less than 77 cm between selvages, the thread count of which per cm (treating multiple (folded) or cabled yarns as single threads) is over 69 but not over 142 in the warp and over 31 but not over 71 in the filling (619)","[""m²"",""kg""]","18.9¢/kg + 17.6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","24.3¢/kg + 81%","",""
"5407.52.20","3","Other","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"","4","Weighing not more than 170 g/m²:","","","","","",""
"5407.52.20.20","5","Flat fabrics (619)","[""m²"",""kg""]","","","","",""
"5407.52.20.40","5","Other (619)","[""m²"",""kg""]","","","","",""
"5407.52.20.60","4","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.53","2","Of yarns of different colors:","","","","","",""
"5407.53.10.00","3","The thread count of which per cm (treating multiple (folded) or cabled yarns as single threads) is over 69 but not over 142 in the warp and over 31 but not over 71 in the filling (619)","[""m²"",""kg""]","18.8¢/kg + 17.4%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","24.3¢/kg + 81%","",""
"5407.53.20","3","Other","","12%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"","4","Weighing not more than 170 g/m²:","","","","","",""
"5407.53.20.20","5","Flat fabrics (619)","[""m²"",""kg""]","","","","",""
"5407.53.20.40","5","Other (619)","[""m²"",""kg""]","","","","",""
"5407.53.20.60","4","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.54.00","2","Printed","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"","3","Weighing not more than 170 g/m²:","","","","","",""
"5407.54.00.20","4","Flat fabrics (619)","[""m²"",""kg""]","","","","",""
"5407.54.00.40","4","Other (619)","[""m²"",""kg""]","","","","",""
"5407.54.00.60","3","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"","1","Other woven fabrics, containing 85 percent or more by weight of polyester filaments:","","","","","",""
"5407.61","2","Containing 85 percent or more by weight of non textured polyester filaments:","","","","","",""
"","3","Dyed, measuring less than 77 cm in width or less than 77 cm between selvages, the thread count of which per cm (treating multiple (folded) or cabled yarns as single threads) is over 69 but not over 142 in the warp and over 31 but not over 71 in the filling:","","","","","",""
"5407.61.11.00","4","Wholly of polyester, of single yarns measuring not less than <il>75 decitex</il> but not more than <il>80 decitex</il>, having 24 filaments per yarn and with a twist of 900 or more turns per meter (619)","[""m²"",""kg""]","19.4¢/kg + 18%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","24.3¢/kg + 81%","",""
"5407.61.19.00","4","Other (619)","[""m²"",""kg""]","19.4¢/kg + 18%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","24.3¢/kg + 81%","",""
"","3","Of yarns of different colors, the thread count of which per cm (treating multiple (folded) or cabled yarns as single threads) is over 69 but not over 142 in the warp and over 31 but not over 71 in the filling:","","","","","",""
"5407.61.21.00","4","Wholly of polyester, of single yarns meas- uring not less than <il>75 decitex</il> but not more than <il>80 decitex</il>, having 24 filaments per yarn and with a twist of 900 or more turns per meter (619)","[""m²"",""kg""]","12.2¢/kg + 11.3%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","24.3¢/kg + 81%","",""
"5407.61.29.00","4","Other (619)","[""m²"",""kg""]","12.2¢/kg + 11.3%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","24.3¢/kg + 81%","",""
"","3","Other:","","","","","",""
"5407.61.91.00","4","Wholly of polyester, of single yarns meas- uring not less than <il>75 decitex</il> but not more than <il>80 decitex</il>, having 24 filaments per yarn and with a twist of 900 or more turns per meter (619)","[""m²"",""kg""]","14.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"5407.61.99","4","Other","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"","5","Unbleached or bleached:","","","","","",""
"","6","Weighing not more than 170 g/m²:","","","","","",""
"5407.61.99.05","7","Flat fabrics (619)","[""m²"",""kg""]","","","","",""
"5407.61.99.10","7","Other (619)","[""m²"",""kg""]","","","","",""
"5407.61.99.15","6","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"","5","Dyed:","","","","","",""
"","6","Weighing not more than 170 g/m²:","","","","","",""
"5407.61.99.25","7","Flat fabrics (619)","[""m²"",""kg""]","","","","",""
"5407.61.99.30","7","Other (619)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5407.61.99.35","6","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"","5","Of yarns of different colors:","","","","","",""
"","6","Weighing not more than 170 g/m²:","","","","","",""
"5407.61.99.45","7","Flat fabrics (619)","[""m²"",""kg""]","","","","",""
"5407.61.99.50","7","Other (619)","[""m²"",""kg""]","","","","",""
"5407.61.99.55","6","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"","5","Printed:","","","","","",""
"","6","Weighing not more than 170 g/m²:","","","","","",""
"5407.61.99.65","7","Flat fabrics (619)","[""m²"",""kg""]","","","","",""
"5407.61.99.70","7","Other (619)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5407.61.99.75","6","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.69","2","Other:","","","","","",""
"5407.69.10","3","Unbleached or bleached","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"5407.69.10.10","4","Weighing not more than 170 g/m² (619)","[""m²"",""kg""]","","","","",""
"5407.69.10.60","4","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.69.20","3","Dyed","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"5407.69.20.10","4","Weighing not more than 170 g/m² (619)","[""m²"",""kg""]","","","","",""
"5407.69.20.60","4","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"","3","Of yarns of different colors:","","","","","",""
"5407.69.30.00","4","The thread count of which per cm (treating multiple (folded) or cabled yarns as single threads) is over 69 but not over 142 in the warp and over 31 but not over 71 in the filling (620)","[""m²"",""kg""]","Free","","24.3¢/kg + 81%","",""
"5407.69.40","4","Other","","8.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"5407.69.40.10","5","Weighing not more than 170 g/m² (619)","[""m²"",""kg""]","","","","",""
"5407.69.40.60","5","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"5407.69.90","3","Printed","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"5407.69.90.10","4","Weighing not more than 170 g/m² (619)","[""m²"",""kg""]","","","","",""
"5407.69.90.60","4","Weighing more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
"","1","Other woven fabrics, containing 85 percent or more by weight of synthetic filaments:","","","","","",""
"5407.71.00","2","Unbleached or bleached","","14.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","81%","",""
"5407.71.00.15","3","Weighing not more than 170 g/m² (620)","[""m²"",""kg""]","","","","",""
